X,Y,Z
0.088566266,0.118014455,-0.025311911
0.08808078,0.1064266,-0.02673167
0.0877872,0.09126581,-0.028620375
0.08719784,0.071058825,-0.031148273
0.087031685,0.050997764,-0.032851886
0.0866008,0.029501136,-0.034077413
0.08502461,0.005981182,-0.034919456
0.08352618,-0.015771117,-0.034830283
0.08160463,-0.03691728,-0.034219965
0.079103336,-0.056703985,-0.033673726
0.07710258,-0.07377247,-0.03257188
0.07571509,-0.08799473,-0.03144291
0.07442118,-0.09941536,-0.029923711
0.07329135,-0.1077291,-0.029033458
0.11777665,0.06945543,-0.026750758
0.12189423,0.08223274,-0.026354225
0.12453684,0.09256795,-0.025445852
0.12660523,0.10101418,-0.024521155
0.12815444,0.108022854,-0.024628896
0.12886712,0.11160581,-0.024143603
0.129204,0.10618088,-0.02562794
0.12839568,0.09788661,-0.02698497
0.1270604,0.084618784,-0.028829096
0.12654927,0.07012287,-0.030871805
0.12646484,0.05419387,-0.032839753
0.12608391,0.03613093,-0.034890883
0.12536418,0.016039375,-0.036615506
0.12414527,-0.00338781,-0.037845556
0.123162165,-0.022018727,-0.038232677
0.12199441,-0.039978646,-0.03825847
0.120404035,-0.055660363,-0.03781349
0.11872856,-0.068167605,-0.037029743
0.116945066,-0.07813865,-0.035703264
0.14988506,-0.03184024,-0.023762846
0.15576166,-0.026086865,-0.023066718
0.16090265,-0.023532793,-0.022028636
0.16564006,-0.018526196,-0.021710154
0.16966504,-0.014103711,-0.021660723
0.17259392,-0.010167334,-0.022271767
0.17252529,-0.006398172,-0.023584023
0.16879751,-0.0058921166,-0.024637235
0.1628091,-0.007486956,-0.025182774
0.15564078,-0.011039813,-0.02525122
0.14797463,-0.015933048,-0.025035512
0.14213869,-0.022737626,-0.023855314
0.13780911,-0.031047078,-0.0220958
0.1351912,-0.040669046,-0.019752905
0.13470672,-0.051139977,-0.017108135
0.13681592,-0.06161513,-0.014374711
0.14161432,-0.07088903,-0.011934375
0.14867188,-0.07812537,-0.009787083
0.15700993,-0.08207848,-0.008107491
0.1658729,-0.08212847,-0.0070459847
0.1743569,-0.078624226,-0.006668227
0.18155557,-0.0723426,-0.007009101
0.18618922,-0.06467452,-0.0077767335
0.18873978,-0.05473752,-0.00940842
0.18894772,-0.043715324,-0.011461209
0.18685646,-0.032523803,-0.01377959
0.18279715,-0.02195965,-0.01617366
0.17711943,-0.012671845,-0.018464107
0.17174597,-0.004215504,-0.019581448
0.16398132,0.0013198645,-0.021173358
0.15615952,0.0048879753,-0.022357011
0.14914967,0.0065884106,-0.023158187
0.14366767,0.0068556326,-0.023642387
0.14028203,0.0063998494,-0.023947515
